contact_id,contact_name,email,notes,contact_phone,job_title,business_id,business_name,website,domain,business_phone,category,review_count,review_rating,address,status,description,place_id,last_crawled_at,crawl_attempts
21,Info/Office,,,14086281236,General Contact,21,Drain Doctor,https://www.draindoctor.com/,draindoctor.com,14086281236,"Plumber, Drainage service, Water damage restoration service",0,4.9,"1277 N 15th St, San Jose, CA 95112, United States",,,,26:09.0,1
83,Info/Office,,,14082702279,General Contact,83,Eagle Plumbing Inc.,,,14082702279,Plumber,0,4.3,"3508 Boeger Ln, San Jose, CA 95148, United States",,,,,0
53,Info/Office,,,14082494922,General Contact,53,Economy Rooter Inc.,http://www.economyrooterplumbing.com/,economyrooterplumbing.com,14082494922,"Plumber, Service establishment",0,4.7,,,,,26:09.0,1
71,Info/Office,,,16508357177,General Contact,71,EJ Plumbing & Water Heaters,https://www.ejplumbing.com/?utm_campaign=gmb,ejplumbing.com,16508357177,"Plumber, Drainage service, Electrician",0,4.9,"1170 Martin Ave, Santa Clara, CA 95050, United States",,,,26:09.0,1
40,Info/Office,,,14087948288,General Contact,40,Ever Plumbing Underground LLC,,,14087948288,"Plumber, Drainage service, Service establishment, Sewage disposal service",0,5,,,,,,0
20,Info/Office,,,14082154612,General Contact,20,Genmor Plumbers - San Jose,https://www.genmorplumbing.com/,genmorplumbing.com,14082154612,"Plumber, Drainage service, Remodeler",0,4.7,"75 Phelan Ave Ste 4, San Jose, CA 95112, United States",,,,26:09.0,1
22,Info/Office,,,14088821576,General Contact,22,Gogo Rooter,https://gogorooter.com/,gogorooter.com,14088821576,Plumber,0,4.9,"326 Phelan Ave #B, San Jose, CA 95112, United States",,,,26:09.0,1
49,Info/Office,,,14086847401,General Contact,49,Green Garden Plumber's San Jose,https://greengardenplumbers.com/san-jose/,greengardenplumbers.com,14086847401,"Plumber, Home improvement store",0,4.7,"5031 Almaden Expy, San Jose, CA 95118, United States",,,,26:09.0,1
42,Info/Office,,,14084262806,General Contact,42,Knockout Plumbing & Repipe Inc.,https://www.knockoutplumbingrepipe.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Campbell-CA,knockoutplumbingrepipe.com,14084262806,"Plumber, Drainage service, Pipe supplier",0,4.9,"191 Dillon Ave, Campbell, CA 95008, United States",,,,26:09.0,1
56,Info/Office,,,14086419245,General Contact,56,Local Rooter and Plumbing,http://wix.to/HvybCzU,wix.to,14086419245,Plumber,0,4.9,"1811 McLaughlin Ave, San Jose, CA 95122, United States",,,,26:09.0,1
68,Info/Office,,,14088135613,General Contact,68,Lucky rooter & Plumbing,https://luckyplumbing102.wixsite.com/luckyplumbing,luckyplumbing102.wixsite.com,14088135613,Plumber,0,5,"3616 Story Rd, San Jose, CA 95127, United States",,,,26:09.0,1
55,Info/Office,,,14083753190,General Contact,55,Marti's Plumbing San Jose,,,14083753190,Plumber,0,4.6,"1601 Almaden Rd Unit a, San Jose, CA 95125, United States",,,,,0
2,Info/Office,,,14087036111,General Contact,2,Mike Counsil Plumbing and Rooter,https://mcplumbing.com/?utm_source=google&utm_medium=profile&utm_campaign=sj,mcplumbing.com,14087036111,Plumber,1648,4.8,"1915 O'Toole Way, San Jose, CA 95131, United States",,,ChIJZ_fVc_nLj4AR7WJqiL367hQ,26:09.0,1
51,Info/Office,,,14089636896,General Contact,51,Miracle Plumbing Inc.,https://www.miracleplumbinginc.com/,miracleplumbinginc.com,14089636896,Plumber,0,4.7,"14422 Union Ave, San Jose, CA 95124, United States",,,,26:09.0,1
48,Info/Office,,,14083963837,General Contact,48,Moomau Plumbing,http://www.moomauplumbing.com/,moomauplumbing.com,14083963837,Plumber,0,5,"1177 Branham Ln, San Jose, CA 95118, United States",,,,26:09.0,1
50,Info/Office,,,14086778325,General Contact,50,Moor Trenchless Plumbing Inc.,https://moorplumbing.com/,moorplumbing.com,14086778325,"Plumber, Drainage service",0,5,"4170 Camden Ave, San Jose, CA 95124, United States",,,,26:09.0,1
24,Info/Office,,,14086681532,General Contact,24,Mr. Reliable Plumbing & Heating,https://mrreliablephc.com/?utm_campaign=gmb,mrreliablephc.com,14086681532,"Plumber, Air conditioning contractor, Drainage service, Furnace repair service, HVAC contractor",0,4.7,"1450 Koll Cir #112, San Jose, CA 95112, United States",,,,26:09.0,1
69,Info/Office,,,14083947910,General Contact,69,Pipe-Thru Trenchless Plumbing,https://www.pipethrutrenchless.com/,pipethrutrenchless.com,14083947910,Plumber,0,5,"11166 Canon Vista Ave, San Jose, CA 95127, United States",,,,26:09.0,1
9,Info/Office,,,14085168724,General Contact,9,Ribbs Plumbing & Sewer,https://ribbspremierservices.com/,ribbspremierservices.com,14085168724,"Plumber, Drainage service, Septic system service",436,4.9,"2912 Daylight Way, San Jose, CA 95111, United States",,,ChIJbee_wFYyjoARcKTmWMvLvQo,26:09.0,1
4,Info/Office,,,14088161005,General Contact,4,Rooter Hero Plumbing & Air of San Jose,https://rooterhero.com/san-jose,rooterhero.com,14088161005,"Plumber, Air conditioning repair service, HVAC contractor",3525,4.8,"2827 Aiello Dr, San Jose, CA 95111, United States",,,ChIJ5awrBzujj4ARWQLUgOweNNM,26:09.0,1
28,Info/Office,,,16505372860,General Contact,28,Rooter Solutions Plumbers,https://www.rootersolutionssj.com/?utm_source=gbp&utm_medium=organic,rootersolutionssj.com,16505372860,"Plumber, Gas installation service, Repair service, Septic system service",0,4.9,"1758 Junction Ave E, San Jose, CA 95112, United States",,,,26:09.0,1
45,Info/Office,,,14088695998,General Contact,45,Royal Plumbing Services,,,14088695998,Plumber,0,5,"1462 Blackstone Ave, San Jose, CA 95118, United States",,,,,0
7,Info/Office,,,14088542863,General Contact,7,San Jose Drain and Main,,,14088542863,"Plumber, Pump supplier",45,5,"1980 Park Ave, San Jose, CA 95126, United States",,,ChIJeQXzMXAJUa0RXv-ibgJBxUM,,0
70,Info/Office,,,14082472400,General Contact,70,Smart Plumbers Inc. DBA Smart Plumbers & Rooters,https://www.smartplumber.com/,smartplumber.com,14082472400,Plumber,0,4.8,"2175 Ronald St, Santa Clara, CA 95050, United States",,,,26:09.0,1
19,Info/Office,,,14086228183,General Contact,19,SPS Plumbing - Water Heater Repair & Installation,https://www.spsplumbing.biz/,spsplumbing.biz,14086228183,Plumber,0,4.9,"205 E Alma Ave Unit O1, San Jose, CA 95112, United States",,,,26:09.0,1
16,Info/Office,,,14083511994,General Contact,16,"Super Brothers Plumbing, Heating & Air - San Jose",https://www.superbrothers.com/cities/san-jose/?utm_campaign=gmb,superbrothers.com,14083511994,"Plumber, Air conditioning contractor, Air conditioning repair service, Bathroom remodeler, Drainage service, Electrician, Furnace repair service, Gasfitter, Heating contractor, HVAC contractor",83,5,"915 Coleman Ave, San Jose, CA 95110, United States",,,ChIJ6ds_jabnkykRIPyCIbSv4vU,26:09.0,1
35,Info/Office,,,14085905033,General Contact,35,Supreme Rooter & Plumbing,https://www.supremerooter.com/,supremerooter.com,14085905033,Plumber,0,5,"414 Skyway Dr, San Jose, CA 95111, United States",,,,26:09.0,1
46,Info/Office,,,14085396119,General Contact,46,SWAGS Plumbing and Rooter,https://www.swagsplumbing.com/?utm_source=GBP&utm_medium=GBP,swagsplumbing.com,14085396119,"Plumber, Contractor, Drainage service, Repair service",0,5,"3694 Lynx Dr, San Jose, CA 95136, United States",,,,26:09.0,1
64,Info/Office,,,13609470000,General Contact,64,Top Mark Plumbing,,,13609470000,"Plumber, Service establishment",0,5,,,,,,0
33,Info/Office,,,14086305462,General Contact,33,Universal Plumbing & Rooter,https://www.universalplumbingrooter.com/,universalplumbingrooter.com,14086305462,"Plumber, Drainage service",0,5,"2662 Kendrick Cir, San Jose, CA 95121, United States",,,,26:09.0,1
79,Info/Office,,,14083327724,General Contact,79,Unlimited Plumbing Services,,,14083327724,"Plumber, Service establishment",0,5,,,,,,0
10,Info/Office,,,14084024044,General Contact,10,Water Heater Specialists,https://waterheaterrepairsanjose.com/,waterheaterrepairsanjose.com,14084024044,Plumber,209,4.9,"1141 W San Carlos St, San Jose, CA 95126, United States",,,ChIJ8cvmJVPLj4ARGpAEI6yxsVI,26:09.0,1
